friend_screen_name,friend_id,appereance_count,in_database
AGW_Prof,131570276,22,False
bradplumer,15507433,22,False
MikeHudema,15088481,22,False
DoctorVive,22140392,22,False
JesseJenkins,17026589,22,False
CA_Latest,3350493279,22,False
RozPidcock,128544009,22,False
UE,845553265,22,False
piersforster,361593313,22,True
James_BG,36959762,22,False
rjtklein,28962525,22,False
p_hannam,495650403,22,False
ClimateLabBook,455084468,22,False
COP26,1195025771368239106,22,False
BusinessGreen,17683482,22,False
EU_Commission,157981564,22,False
ScienceNews,19402238,22,False
OECD,25390350,22,False
BBCAmos,104585489,22,False
ErikSolheim,48702842,22,False
UN_Spokesperson,148517828,22,False
duycks,49155241,22,False
EU_ENV,366037745,22,False
OurOcean,71019945,22,False
RAN,10340482,22,False
BBCEarth,70725281,22,False
oceana,29221344,22,False
jrockstrom,1079443074,21,False
JaneLubchenco,3018968748,21,False
ClimateAdam,1288758828,21,False
Momentum_UNFCCC,517661405,21,False
NOAANCEIclimate,916735110,21,False
kate_sheppard,15458181,21,False
TIME,14293310,21,False
NPR,5392522,21,False
ZLabe,344395626,21,False
RARohde,816592081200279552,21,False
PIK_Climate,614249266,21,False
climate_ice,16744473,21,True
clequere,243775607,21,True
doug_parr,430709194,21,False
elonmusk,44196397,21,False
DFID_UK,19915362,21,False
POTUS44,1536791610,21,False
dbiello,14323791,21,False
HelenClarkNZ,191849753,21,False
scifri,16817883,21,False
EarthDayNetwork,23369246,21,False
EPA,14615871,21,False
JohnKerry,15007149,21,False
BAS_News,229045433,21,True
PEspinosaC,214842351,21,True
guardiannews,788524,21,False
smithsonian,14199378,21,False
kuminaidoo,19904685,21,False
